site3-sc05-image_23.pgm site3-sc05-mask-r3_23.pgm
site4-sc09-image_5.pgm site4-sc09-mask-r3_5.pgm
site4-sc09-image_5.pgm site4-sc09-mask-r1_5.pgm
site4-sc09-image_5.pgm site4-sc09-mask-r4_5.pgm
site4-sc09-image_5.pgm site4-sc09-mask-r2_5.pgm
site3-sc02-image_6.pgm site3-sc02-mask-r2_6.pgm
site3-sc02-image_6.pgm site3-sc02-mask-r3_6.pgm
site3-sc02-image_6.pgm site3-sc02-mask-r4_6.pgm
site4-sc02-image_12.pgm site4-sc02-mask-r2_12.pgm
site4-sc02-image_12.pgm site4-sc02-mask-r3_12.pgm
site4-sc02-image_12.pgm site4-sc02-mask-r4_12.pgm
site4-sc02-image_12.pgm site4-sc02-mask-r1_12.pgm
site4-sc02-image_10.pgm site4-sc02-mask-r2_10.pgm
site4-sc02-image_10.pgm site4-sc02-mask-r4_10.pgm
site4-sc02-image_10.pgm site4-sc02-mask-r3_10.pgm
site4-sc02-image_10.pgm site4-sc02-mask-r1_10.pgm
site3-sc10-image_21.pgm site3-sc10-mask-r4_21.pgm
site3-sc10-image_21.pgm site3-sc10-mask-r3_21.pgm
site3-sc10-image_21.pgm site3-sc10-mask-r2_21.pgm
site4-sc03-image_3.pgm site4-sc03-mask-r2_3.pgm
site4-sc03-image_3.pgm site4-sc03-mask-r3_3.pgm
site4-sc03-image_3.pgm site4-sc03-mask-r1_3.pgm
site4-sc03-image_3.pgm site4-sc03-mask-r4_3.pgm
site4-sc08-image_6.pgm site4-sc08-mask-r4_6.pgm
site4-sc08-image_6.pgm site4-sc08-mask-r1_6.pgm
site4-sc08-image_6.pgm site4-sc08-mask-r2_6.pgm
site4-sc08-image_6.pgm site4-sc08-mask-r3_6.pgm
site3-sc02-image_23.pgm site3-sc02-mask-r3_23.pgm
site4-sc07-image_4.pgm site4-sc07-mask-r2_4.pgm
site4-sc07-image_4.pgm site4-sc07-mask-r3_4.pgm
site4-sc07-image_4.pgm site4-sc07-mask-r4_4.pgm
site4-sc07-image_4.pgm site4-sc07-mask-r1_4.pgm
site3-sc10-image_15.pgm site3-sc10-mask-r2_15.pgm
site3-sc10-image_15.pgm site3-sc10-mask-r3_15.pgm
site3-sc10-image_15.pgm site3-sc10-mask-r1_15.pgm
site3-sc10-image_15.pgm site3-sc10-mask-r4_15.pgm
site3-sc10-image_7.pgm site3-sc10-mask-r1_7.pgm
site3-sc10-image_7.pgm site3-sc10-mask-r4_7.pgm
site3-sc10-image_7.pgm site3-sc10-mask-r2_7.pgm
site3-sc10-image_7.pgm site3-sc10-mask-r3_7.pgm
site4-sc05-image_7.pgm site4-sc05-mask-r1_7.pgm
site4-sc05-image_7.pgm site4-sc05-mask-r4_7.pgm
site4-sc05-image_7.pgm site4-sc05-mask-r3_7.pgm
site4-sc05-image_7.pgm site4-sc05-mask-r2_7.pgm
site4-sc04-image_4.pgm site4-sc04-mask-r4_4.pgm
site4-sc04-image_4.pgm site4-sc04-mask-r1_4.pgm
site4-sc04-image_4.pgm site4-sc04-mask-r2_4.pgm
site4-sc04-image_4.pgm site4-sc04-mask-r3_4.pgm
site3-sc07-image_20.pgm site3-sc07-mask-r2_20.pgm
site3-sc07-image_20.pgm site3-sc07-mask-r3_20.pgm
site3-sc07-image_20.pgm site3-sc07-mask-r4_20.pgm
site4-sc03-image_13.pgm site4-sc03-mask-r4_13.pgm
site4-sc03-image_13.pgm site4-sc03-mask-r3_13.pgm
site4-sc03-image_13.pgm site4-sc03-mask-r1_13.pgm
site4-sc03-image_13.pgm site4-sc03-mask-r2_13.pgm
site3-sc09-image_22.pgm site3-sc09-mask-r3_22.pgm
site3-sc09-image_22.pgm site3-sc09-mask-r2_22.pgm
site3-sc09-image_22.pgm site3-sc09-mask-r4_22.pgm
site4-sc03-image_1.pgm site4-sc03-mask-r1_1.pgm
site4-sc03-image_1.pgm site4-sc03-mask-r2_1.pgm
site4-sc03-image_1.pgm site4-sc03-mask-r4_1.pgm
site4-sc03-image_1.pgm site4-sc03-mask-r3_1.pgm
site4-sc09-image_10.pgm site4-sc09-mask-r4_10.pgm
site4-sc09-image_10.pgm site4-sc09-mask-r1_10.pgm
site4-sc09-image_10.pgm site4-sc09-mask-r2_10.pgm
site4-sc09-image_10.pgm site4-sc09-mask-r3_10.pgm
site4-sc03-image_8.pgm site4-sc03-mask-r3_8.pgm
site4-sc03-image_8.pgm site4-sc03-mask-r4_8.pgm
site4-sc03-image_8.pgm site4-sc03-mask-r2_8.pgm
site4-sc03-image_8.pgm site4-sc03-mask-r1_8.pgm
site3-sc07-image_9.pgm site3-sc07-mask-r3_9.pgm
site3-sc07-image_9.pgm site3-sc07-mask-r2_9.pgm
site3-sc07-image_9.pgm site3-sc07-mask-r4_9.pgm
site3-sc07-image_9.pgm site3-sc07-mask-r1_9.pgm
site3-sc05-image_8.pgm site3-sc05-mask-r4_8.pgm
site3-sc05-image_8.pgm site3-sc05-mask-r3_8.pgm
